ts,state,ssid,bssid,signal_pct,channel,radio_type,ping_gate_avg_ms,ping_gate_loss_pct,ping_remote_avg_ms,ping_remote_loss_pct
2025-10-06T18:06:01.962295Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:06:18.303939Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:06:34.650006Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:06:50.991969Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,10.0,0.0
2025-10-06T18:07:07.337205Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:07:23.691938Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,10.0,0.0
2025-10-06T18:07:40.030760Z,connected,Bozard Employee,,82%,149,802.11ac,2.0,0.0,10.0,0.0
2025-10-06T18:07:56.396537Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,13.0,25.0
2025-10-06T18:08:16.368078Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:08:32.731194Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,12.0,0.0
2025-10-06T18:08:49.154476Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:09:05.515276Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,11.0,0.0
2025-10-06T18:09:21.877498Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:09:38.241471Z,connected,Bozard Employee,,82%,149,802.11ac,0.0,0.0,9.0,0.0
2025-10-06T18:49:10.367454+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,
2025-10-06T18:49:26.832948+00:00,: connected,Bozard Employee,,82%,149,802.11ac,0,0,10,0,
2025-10-06T18:50:01.858088+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,6.312695220891267
2025-10-06T18:50:18.356955+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,11,0,7.67592942425034
2025-10-06T18:50:34.849095+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,11,0,7.67592942425034
2025-10-06T18:50:51.356148+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:51:07.864579+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:51:24.326180+00:00,: connected,Bozard Employee,,82%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:51:40.824902+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:51:57.339579+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:52:13.801947+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:52:30.336315+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:52:46.833176+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:53:03.268833+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,7.67592942425034
2025-10-06T18:53:19.729576+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,6.7572846191027
2025-10-06T18:53:36.202309+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,6.7572846191027
2025-10-06T19:08:22.018794+00:00,: connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0,
2025-10-06T19:08:39.724067+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,
2025-10-06T19:08:56.190309+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,
2025-10-06T19:09:12.670096+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,6.764926800055446
2025-10-06T19:09:29.161727+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,6.878066894931845
2025-10-06T19:09:45.628769+00:00,: connected,Bozard Employee,,80%,149,802.11ac,0,0,9,0,6.878066894931845
